Product Name,Unit,Base Price,Variant name
SAMPOERNA MILD MENTHOL 16,SLOP,340000,"SLOP@340,000"
SAMPOERNA MILD MENTHOL 16,BAL,3400000,"BAL@3,400,000"
SAMPOERNA MILD MENTHOL 16,SLOP,0,SLOP
SAMPOERNA MILD MENTHOL 16,BAL,0,BAL
SAMPOERNA MILD MENTHOL 16,KARTON,0,KARTON
DJARUM L.A MENTHOL 16,SLOP,288000,"SLOP@288,000"
DJARUM L.A MENTHOL 16,BAL,2870000,"BAL@2,870,000"
DJARUM L.A MENTHOL 16,SLOP,0,SLOP
DJARUM L.A MENTHOL 16,BAL,0,BAL
DJARUM L.A MENTHOL 16,KARTON,0,KARTON
SAMPOERNA KRETEK 12,SLOP,153000,"SLOP@153,000"
SAMPOERNA KRETEK 12,BAL,3055000,"BAL@3,055,000"
SAMPOERNA KRETEK 12,SLOP,0,SLOP
SAMPOERNA KRETEK 12,BAL,0,BAL
SAMPOERNA KRETEK 12,KARTON,0,KARTON
AROMA BOLD 12,SLOP,163000,"SLOP@163,000"
AROMA BOLD 12,BAL,1620000,"BAL@1,620,000"
AROMA BOLD 12,SLOP,0,SLOP
AROMA BOLD 12,BAL,0,BAL
AROMA BOLD 12,KARTON,0,KARTON
DJARUM SUPER MLD WHITE 20,SLOP,320000,"SLOP@320,000"
DJARUM SUPER MLD WHITE 20,BAL,3190000,"BAL@3,190,000"
DJARUM SUPER MLD WHITE 20,SLOP,0,SLOP
DJARUM SUPER MLD WHITE 20,BAL,0,BAL
DJINGGO LAMA 10,SLOP,84000,"SLOP@84,000"
DJINGGO LAMA 10,BAL,1660000,"BAL@1,660,000"
DJINGGO LAMA 10,SLOP,0,SLOP
DJINGGO LAMA 10,BAL,0,BAL
DJINGGO LAMA 10,KARTON,0,KARTON
KOPI LUWAK,DUS,210000,"DUS@210,000"
KOPI LUWAK,DUS,0,DUS
GUDANG GARAM SURYAPRO 16,SLOP,321000,"SLOP@321,000"
GUDANG GARAM SURYAPRO 16,BAL,3200000,"BAL@3,200,000"
GUDANG GARAM SURYAPRO 16,SLOP,0,SLOP
GUDANG GARAM SURYAPRO 16,BAL,0,BAL
GUDANG GARAM SURYAPRO 16,KARTON,0,KARTON
CLAS MILD 16,SLOP,281000,"SLOP@281,000"
CLAS MILD 16,BAL,2805000,"BAL@2,805,000"
CLAS MILD 16,SLOP,0,SLOP
CLAS MILD 16,BAL,0,BAL
CLAS MILD 16,KARTON,0,KARTON
INSTA,SLOP,230000,"SLOP@230,000"
INSTA,BAL,2290000,"BAL@2,290,000"
INSTA,SLOP,0,SLOP
INSTA,BAL,0,BAL
INSTA,KARTON,0,KARTON
GUDANG GARAM SURYAPROMILD 16,SLOP,321000,"SLOP@321,000"
GUDANG GARAM SURYAPROMILD 16,BAL,3200000,"BAL@3,200,000"
GUDANG GARAM SURYAPROMILD 16,SLOP,0,SLOP
GUDANG GARAM SURYAPROMILD 16,BAL,0,BAL
GUDANG GARAM SURYAPROMILD 16,KARTON,0,KARTON
AROMA MILD,SLOP,213000,"SLOP@213,000"
AROMA MILD,BAL,2120000,"BAL@2,120,000"
AROMA MILD,SLOP,0,SLOP
AROMA MILD,BAL,0,BAL
AROMA MILD,KARTON,0,KARTON
KOPI GAJAH TUBRUK,DUS,75000,"DUS@75,000"
KOPI GAJAH TUBRUK,DUS,0,DUS
DJARUM COKLAT 12,SLOP,163000,"SLOP@163,000"
DJARUM COKLAT 12,BAL,3240000,"BAL@3,240,000"
DJARUM COKLAT 12,SLOP,0,SLOP
DJARUM COKLAT 12,BAL,0,BAL
DJARUM COKLAT 12,KARTON,0,KARTON
MARLBORO ICE BURST 20,SLOP,498000,"SLOP@498,000"
MARLBORO ICE BURST 20,SLOP,0,SLOP
MARLBORO ICE BURST 20,KARTON,0,KARTON
DJI SAM SOE 12,SLOP,192000,"SLOP@192,000"
DJI SAM SOE 12,BAL,3840000,"BAL@3,840,000"
DJI SAM SOE 12,SLOP,0,SLOP
DJI SAM SOE 12,BAL,0,BAL
DJI SAM SOE 12,KARTON,0,KARTON
DJARUM L.A BOLD 20,SLOP,370000,"SLOP@370,000"
DJARUM L.A BOLD 20,BAL,3690000,"BAL@3,690,000"
DJARUM L.A BOLD 20,SLOP,0,SLOP
DJARUM L.A BOLD 20,BAL,0,BAL
DJARUM L.A BOLD 20,KARTON,0,KARTON
DJARUM ENVIO KRETEK,SLOP,59000,"SLOP@59,000"
DJARUM ENVIO KRETEK,BAL,1160000,"BAL@1,160,000"
DJARUM L.A 16,SLOP,329000,"SLOP@329,000"
DJARUM L.A 16,BAL,3280000,"BAL@3,280,000"
DJARUM L.A 16,SLOP,0,SLOP
DJARUM L.A 16,BAL,0,BAL
DJARUM L.A 16,KARTON,0,KARTON
SAMPOERNA MILD 50,SLOP,368000,"SLOP@368,000"
